date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-05-11,811.29,824.0,785.0,790.51,16519601,54.086,54.9333333333333,52.3333333333333,52.7006666666667,247794015,0.0,1.0
2020-05-12,809.41,843.29,808.0,827.0,15906905,53.9606666666667,56.2193333333333,53.8666666666667,55.1333333333333,238603575,0.0,1.0
2020-05-13,790.96,826.0,763.3,820.83,19065491,52.7306666666667,55.0666666666667,50.8866666666667,54.722,285982365,0.0,1.0
2020-05-14,803.33,803.36,764.0,780.0,13682188,53.5553333333333,53.5573333333333,50.9333333333333,52.0,205232820,0.0,1.0
2020-05-15,799.17,805.05,786.55,790.35,10518428,53.278,53.67,52.4366666666667,52.69,157776420,0.0,1.0
2020-05-18,813.63,834.72,803.88,827.78,11698102,54.242,55.648,53.592,55.1853333333333,175471530,0.0,1.0
2020-05-19,808.01,822.07,806.08,815.17,9636522,53.8673333333333,54.8046666666667,53.7386666666667,54.3446666666667,144547830,0.0,1.0
2020-05-20,815.56,826.0,811.8,820.5,7309271,54.3706666666667,55.0666666666667,54.12,54.7,109639065,0.0,1.0
2020-05-21,827.6,832.5,796.0,816.0,12182524,55.1733333333333,55.5,53.0666666666667,54.4,182737860,0.0,1.0
2020-05-22,816.88,831.78,812.0,822.17,9987475,54.4586666666667,55.452,54.1333333333333,54.8113333333333,149812125,0.0,1.0
2020-05-26,818.87,834.6,815.71,834.5,8089736,54.5913333333333,55.64,54.3806666666667,55.6333333333333,121346040,0.0,1.0
2020-05-27,820.23,827.71,785.0,820.86,11549530,54.682,55.1806666666667,52.3333333333333,54.724,173242950,0.0,1.0
2020-05-28,805.81,824.75,801.69,813.51,7275774,53.7206666666667,54.9833333333333,53.446,54.234,109136610,0.0,1.0
2020-05-29,835.0,835.0,804.21,808.75,11812489,55.6666666666667,55.6666666666667,53.614,53.9166666666667,177187335,0.0,1.0
2020-06-01,898.1,899.0,854.1,858.0,15085297,59.8733333333333,59.9333333333333,56.94,57.2,226279455,0.0,1.0
2020-06-02,881.56,908.66,871.0,894.7,13565596,58.7706666666667,60.5773333333333,58.0666666666667,59.6466666666667,203483940,0.0,1.0
2020-06-03,882.96,897.94,880.1,888.12,7949469,58.864,59.8626666666667,58.6733333333333,59.208,119242035,0.0,1.0
